id_p;cod_a;grupo;cod_e;n1;n2;n3
11001;1101;1;1000001;1.5;1.8;3.5
11002;1102;1;1000018;;5.0;1.7
11003;1201;1;1000005;;2.3;
11004;1202;1;1000001;2.9;3.8;
11005;1302;1;1000009;2.5;;1.0
11006;1301;1;1000005;;1.5;4.3
11007;1401;1;1000013;2.9;5.0;4.8
11008;1402;1;1000009;4.9;2.7;2.6
11009;1501;1;1000017;;;4.5
11010;1502;1;1000013;;4.2;4.3
11001;1101;1;1000002;5.0;4.6;1.8
11002;1102;1;1000017;4.3;1.5;2.4
11003;1201;1;1000006;4.8;5.0;
11004;1202;1;1000002;4.2;;1.5
11005;1302;1;1000010;4.1;;3.9
11006;1301;1;1000006;;2.5;2.3
11007;1401;1;1000014;1.4;1.6;4.7
11008;1402;1;1000010;1.4;4.5;4.8
11009;1501;1;1000018;4.9;4.5;3.2
11010;1502;1;1000014;1.9;3.8;2.1
11002;1101;2;1000003;3.5;;3.6
11004;1201;2;1000007;4.2;4.6;3.7
11006;1302;2;1000011;2.5;4.8;4.6
11008;1401;2;1000015;2.3;4.2;1.8
11010;1501;2;1000019;1.9;;
11002;1101;2;1000004;2.5;4.8;1.3
11004;1201;2;1000008;2.4;;4.8
11006;1302;2;1000012;;3.5;1.8
11008;1401;2;1000016;3.5;2.0;1.8
11010;1501;2;1000020;4.8;4.8;2.5
